"Current Discovery Organization", "Organization", "Sub-Organization", "Sector"
"", "Ministry of Transportation and Infrastructure", "Construction and Maintenance", "Transportation"
"", "Ministry of Transportation and Infrastructure", "Engineering", "Transportation"
"", "Ministry of Transportation and Infrastructure", "Information Management - TRAN", "Transportation"
"", "Ministry of Transportation and Infrastructure", "Rehabilitation and Maintenance", "Transportation"
"", "Municipality", "City of Abbotsford", "Service"
"", "Municipality", "City of North Vancouver", "Service"
"", "Municipality", "City of Surrey", "Service"
"", "Municipality", "Cowichan Valley Regional District", "Service"
"", "Municipality", "Fraser Valley Regional District", "Service"
"", "Municipality", "Greater Vancouver Regional District", "Service"
"", "Municipality", "Regional District of Central Okanagan", "Service"
"", "Non-government", "GIS Innovations", "Natural Resources"
"", "Non-government", "Geomatics Data Management Inc.", "Natural Resources"
"", "Non-government", "INTERFOR", "Service"
"", "Non-government", "Integrated Cadastral Information Society", "Natural Resources"
"", "Non-government", "Other", "Natural Resources"
"", "Non-government", "Timberwest","Natural Resources"
"", "Non-government", "TransLink", "Transportation"
"", "Non-government", "Vancouver 2010 Integrated Security Unit", "Health and Safety"
"", "Non-government", "Vancouver Olympic Organizing Committee", "Economy"
"", "Non-government", "Weyerhaeuser", "Service"
"", "Office of the Premier and Cabinet Office", "Intergovernmental Relations Secretariat", "Economy"
"", "WorkSafeBC", "Business Information and Analysis Statistical Services", "Health and Safety"
"", "Ministry of Children and Family Development", "Information Management - CFD", "Social Services"
